No	m2s_r	atio lonm	latm	area(km2)	Vol(km3/yr)	nyr	yrb	yre	elev(m)	CT	CN	River_Name	OCN	Station_Name
238	10000	-88.7	13.43	18176	11.433	14.2	1965	1980	5	SV	CA	Lempa	ATL	San Marcos
239	10000	111.83	-7.1	12804	11.507	9	1983	1991	-9999	ID	AS	Solo (Bengawan	PAC	Bojonegoro
240	10000	-162.94	67.57	31079.8	11.099	3.3	1965	1971	-9999	AK	NA	Noatak	ARC	NOATAK R AT
241	10000	140.07	38.75	6271	11.526	23	1959	2000	-9999	JP	AS	Mogami	PAC	Takaya
242	10000	-71.9	59.98	26900	10.925	20.9	1962	1983	30	CA	NA	Arnaud (Payne)	ATL	en amont de
243	10000	-81.26	32.53	25511	10.779	67.3	1929	2000	4.1	US	NA	Savannah	ATL	"Clyo, GA"
244	10000	-83.47	8.95	4767	10.496	14.7	1965	1979	13	CR	CA	Grande de Terra	ATL	Palmar
245	10000	-74.78	40.22	17560	10.477	86	1912	1998	0	US	NA	Delaware	ATL	"Trenton, NJ"
246	10000	34.15	-19.95	26314	10.516	1.8	1976	1977	35	MZ	AF	Buzi	IND	Estaquinha
247	10000	5.43	51.81	29000	10.295	74	1911	1984	8	NL	EU	Maas (Meuse)	ATL	Lith
248	10000	-77.13	38.95	29940	10.211	70.8	1930	2000	11.6	US	NA	Potomac	ATL	Washington
249	10000	136.74	35.31	4956	8.811	19.9	1959	1997	-9999	JP	AS	Kiso	PAC	Okoshi
250	10000	19.62	42.01	12368	10.049	4	1965	1968	19	AL	EU	Drini	MED	Vau i Dejes
251	10000	-52.05	-31.01	15543	9.994	30.8	1964	1996	24	BR	SA	Camaqua	ATL	Passo do Me
252	10000	9.13	52.97	37788	9.981	66	1921	1986	5	DE	EU	Weser	ATL	Intschede
253	10000	175.15	-37.67	11395	9.847	8.9	1976	1984	25	NZ	PO	Waikato	PAC	Ngaruawahia
254	10000	86.57	22.45	15152	9.791	10.7	1964	1974	-9999	IN	AS	Subarnarekha	IND	Kokpara
255	10000	9.97	4.46	8250	9.734	26	1951	1977	12	CM	AF	Wouri	ATL	Yabassi
256	10000	9.92	59.9	16020	9.703	62.8	1912	1974	-9999	NO	EU	Dramselv	ATL	Dovikfoss
257	10000	-80	-1.7	8690	8.331	20.9	1970	1994	20	EC	SA	Daule	PAC	La Capilla
258	10000	26.82	60.69	36535	9.575	102	1900	2001	19	FI	EU	Kymi	ATL	Pernoo (Anj
259	10000	96.47	18.92	14660	9.434	-999	-999	-999	0	MM	AS	Sittang	IND	IND Toungoo
260	10000	87.37	23.43	19220	9.351	40.7	1934	1979	-9999	IN	AS	Damodar	IND	Rhondia
261	10000	-8.38	42.08	15457	7.878	59.8	1914	1990	9	PT	EU	Minho (Mino)	ATL	Foz do Mour
262	10000	128.85	35.4	22916	9.149	19	1953	1972	-9999	KR	AS	Nagdong (Nakdon	PAC	Samnangjin
263	10000	-77.48	1.62	13147	9.166	12.4	1971	1984	380	CO	SA	Pata	PAC	Pte Pusmeo
264	10000	-51.52	-3.77	23070	9.169	11.1	1977	1989	-9999	BR	SA	Bacaja	ATL	Fazenda Cip
265	10000	-89.82	30.79	17024	9.086	59	1938	1997	16.8	US	NA	Pearl	ATL	"Bogalusa, L"
266	10000	-88.72	30.98	17068	9.028	69	1930	1999	8	US	NA	Pascagoula	ATL	"Merrill, MS"
267	10000	-79.55	34.2	22870	9.008	60	1938	1998	7.5	US	NA	Pee Dee	ATL	"Pee Dee, SC"
268	10000	34.48	64.93	27700	8.37	63.9	1917	1988	-9999	RU	EU	Kem	ARC	Putkinskaya
269	10000	167.8	-45.2	3302	8.826	37.4	1932	1969	-9999	NZ	PO	Waiau (S)	SOC	Lake Te Ana
270	10000	161.25	69.25	26700	8.417	39.5	1944	1987	-9999	RU	AS	Anadyr Kolyma	ARC	Amguema at
271	10000	11.3	2.3	18100	8.697	26.5	1953	1979	500	CM	AF	Ntem	ATL	Ngoazik
272	10000	99.83	13.56	26449	8.65	31.5	1965	1996	-9999	TH	AS	Mae Klong	PAC	Ban Wang Kh
273	10000	121.68	16.6	4244	8.562	5.5	1969	1974	92	PH	AS	Cagayan	PAC	Pangal
274	10000	135.63	34.8	7281	8.455	43	1953	2000	7	JP	AS	Yodo	PAC	Hirakata
275	10000	46.93	-16.93	11800	8.563	12	1957	1969	-9999	MG	AF	Betsiboka	IND	Ambodiroka
276	10000	-178.7	67.67	26400	8.411	41.5	1944	1987	-9999	RU	AS	Amguema	ARC	mosta 174 k
277	10000	114.64	3.97	3210	8.364	8.8	1977	1987	-9999	MY	AS	Tutoh	PAC	Long Terawa
278	10000	34.67	64.48	26600	8.27	12	1962	1973	-9999	RU	EU	Nyzhny Vig (Sor	ARC	Vigostrov
279	10000	-122.91	46.28	5796	8.237	70.3	1926	2001	6.2	US	NA	Cowlitz	PAC	Castle Rock
280	10000	148.7	-9.35	4210	8.267	6.1	1958	1964	-9999	PG	PO	Musa	PAC	Nadi Jabuna
281	10000	34.5	64.43	26500	8.191	33	1956	1988	-9999	RU	EU	Belomorkanal	ARC	Matkozh
282	10000	120.82	15.15	6487	7.269	30.8	1946	1977	1	PH	AS	Pampanga	PAC	San Agustin
283	10000	117.29	5.3	5730	7.797	11.3	1970	1985	-9999	MY	AS	Milan	PAC	"Tangkulap,"
284	10000	-71.08	-35.7	5454	7.75	76.9	1915	1993	-9999	CL	SA	Maule	PAC	Armerillo
285	10000	-82.25	53.25	24200	7.7	28.8	1965	1994	240	CA	NA	Attawapiskat	ATL	d/s Attawap
286	10000	-76.2	56.86	12500	7.653	18.3	1974	1993	-9999	CA	NA	Nastapoca	ATL	pres de l'e
287	10000	46.97	-22.93	14160	7.615	16.2	1960	1978	-9999	MG	AF	Mananara	IND	Maroangaty
288	10000	-93.74	30.3	24162	7.54	75	1924	1999	1.2	US	NA	Sabine	ATL	"Ruliff, TX"
289	10000	125.58	-18.21	46530	7.116	44.8	1955	2000	110.9	WX	AU	Fitzroy-WX	IND	Fitzroy Cro
290	10000	-77.63	36.46	21720	7.341	87.8	1912	1999	13.4	US	NA	Roanoke	ATL	Roanoke Rap
291	10000	11.83	45.1	11954	7.163	57	1922	1979	9	IT	EU	Adige (Etsch)	MED	Boara Pisan
292	10000	103.05	5.13	3340	7.04	26.5	1961	1991	12	MY	AS	Trengganu	IND	Kampung Tan
293	10000	12.48	41.9	16545	7.045	77.3	1921	1998	1	IT	EU	Tiber (Tevere)	MED	Ripetta (Ro
294	10000	35.63	36.97	20466	7.022	13.3	1970	1983	13	TR	AM	Ceyhan	MED	Misis
295	10000	-94.85	30.42	44512	7.003	75.4	1924	1999	7.9	US	NA	Trinity	ATL	"Romayor, TX"
296	10000	-71.3	42.65	12005	6.891	76.3	1923	1999	1.6	US	NA	Merrimack	ATL	"Lowell, MA"
297	10000	175.15	-39.77	6643	6.844	38.5	1951	1990	15	NZ	PO	Wanganui	PAC	Paetawa
298	10000	-51.37	3.05	4018	6.811	6.3	1984	1994	-9999	BR	SA	Cacipore	ATL	Retiro Sant
299	10000	-9.53	7.33	9760	6.735	3	1973	1975	-9999	LR	AF	St Paul	ATL	Walker Brid
300	10000	-123.55	43.59	9539	6.7	94	1905	1999	27.6	US	NA	Umpqua	PAC	"Elkton, OR"
301	10000	-124.1	40.49	8063	6.63	87	1910	1999	10.8	US	NA	Eel	PAC	"Scotia, CA"
302	10000	81.1	7.92	7343	6.501	42.8	1942	1984	31	LK	AS	Mahaweli Ganga	IND	Manampitiya
303	10000	115.92	5.12	7718	6.464	11.7	1969	1985	-9999	MY	AS	Pedas	PAC	Tenom
304	10000	100.97	4.82	7770	7.016	39.3	1960	2000	45	MY	AS	Perak	IND	Iskandar Br
305	10000	-82.93	29.96	20409	6.309	68.3	1931	1999	1.5	US	NA	Suwannee	ATL	"Branford, F"
306	10000	-45.46	-3.66	34030	6.298	27.3	1972	1999	4	BR	SA	Pindare	ATL	Pindare Mir
307	10000	-97.25	20.4	7172	6.255	4	1976	1979	32	MX	NA	Tecolutla	ATL	Remolino
308	10000	-1.63	5.17	22714	6.216	14	1965	1978	-9999	GH	AF	Pra	ATL	Daboasi
309	10000	-77.55	37.56	17503	6.254	65	1934	1999	30.1	US	NA	James	ATL	"Richmond, V"
310	10000	-47.84	-24.38	5390	4.134	29.8	1937	1979	-9999	BR	SA	Juquia	ATL	Barranco Al
311	10000	-71.68	-33.98	13186	6.077	65.1	1917	1982	17	CL	SA	Rapel	PAC	Corneche
312	10000	-78.82	9.18	3612	6.035	11	1965	1975	-9999	PA	CA	Bayano	ATL	Calle Larga
313	10000	-16.42	65.83	7000	6.009	52.2	1939	1991	320	IS	EU	Jkuls  Fjll	ATL	Dettifoss (
314	10000	112.2	-7.48	8650	5.815	33	1951	1983	-9999	ID	AS	Brantas	PAC	Jabon
315	10000	-76.64	53.65	10900	5.786	18.3	1960	1978	-9999	CA	NA	Sakami	ATL	South and E
316	10000	-87.23	30.97	9886	5.683	65	1934	1999	8.6	US	NA	Escambia	ATL	"Century, FL"
317	10000	-94.09	30.36	20593	5.668	80.9	1904	1999	2.5	US	NA	Neches	ATL	"Evadale, TX"
318	10000	-3.39	56.52	4587	5.649	49	1952	2000	26.2	UK	EU	Tay	ATL	Ballathie
319	10000	-8.42	52.8	11690	5.604	44	1934	1979	32	IE	EU	Shannon	ATL	Killaloe
320	10000	-70.21	44.07	8451	5.525	71	1928	1999	33.3	US	NA	Androscoggin	ATL	"nr Auburn,"
321	10000	79.88	6.95	2085	5.468	35.7	1925	1960	-9999	LK	AS	Kelani Ganga	IND	Nagalagam S
322	10000	-7.45	5.87	13750	5.439	36	1955	1991	149	CI	AF	Cavally (Cavall	ATL	Tai
323	10000	137.21	36.7	2688	4.914	9	1986	2000	0	JP	AS	Jintsu	PAC	Jintsuohash
324	10000	117.23	5.85	4000	5.425	13.5	1969	1984	-9999	MY	AS	Labuk	PAC	"Porog, Saba"
325	10000	-97.62	16.28	17617	5.327	6	1976	1981	50	MX	NA	Atoyac (Verde)	PAC	Paso de la
326	10000	-124.06	42.58	10202	5.348	39	1960	1999	34.7	US	NA	Rogue	PAC	"Agness, OR"
327	10000	41.13	67.09	15200	5.305	37.2	1935	1977	-9999	RU	EU	Ponoy	ARC	Ponoy
328	10000	-52.35	3.17	5920	5.271	6	1960	1965	-9999	GF	SA	Camopi	ATL	Camopi
329	10000	28.08	70.11	14005	5.274	88	1911	2000	-9999	NO	EU	Tana (Teno)	ARC	Polmak
330	10000	120.6	15.9	2209	5.216	8.3	1969	1977	26	PH	AS	Agno	PAC	Carmen
331	10000	48.44	31.48	45882	5.246	25.8	1948	1985	30	IR	AS	Karkheh (Al Kar	IND	Hamidiyeh
332	10000	76.75	10.17	5387	5.108	11	1968	1979	32	IN	AS	Periyar	IND	Planchode
333	10000	23.58	67.23	14408	5.035	65	1911	1975	-9999	SE	EU	Muonio	ATL	Kallio
334	10000	131.38	31.94	2126	4.859	9	1986	2000	-9999	JP	AS	Oyodo	PAC	Kashiwada
335	10000	39.67	-0.44	42217	4.944	55	1934	1994	137	KE	AF	Tana	IND	Garissa
336	10000	29	69.02	14600	4.944	12	1956	1967	-9999	RU	EU	Patsjoki	ARC	Ges Rayakos
337	10000	-13.73	13.47	42000	4.724	21.8	1970	1994	-9999	SN	AF	Gambie	ATL	Gouloumbou
338	10000	127.13	41.53	18245	4.689	20	1965	1984	416	KP	AS	Amnok (Yalu)	PAC	Kumchang
339	10000	126.86	36.31	8261	4.692	4	1976	1979	1	KR	AS	Kum (Geum)	PAC	Gyu Am
340	10000	146.11	-7.81	2410	4.68	7.3	1952	1984	46	PG	PO	Tauri	PAC	Hells Gate
341	10000	-78.47	0.87	4960	4.547	21.7	1964	1988	510	EC	SA	Mira	PAC	d.j. Lita
342	10000	49.05	-13.2	3210	4.696	19.4	1963	1986	-9999	MG	AF	Mahavavy Nord	IND	Ambilobe
343	10000	-43.63	-22.82	1353	4.629	6.9	1963	1970	19	BR	SA	Guandu-2	ATL	Ponte do Gu
344	10000	15.64	63.84	6432	4.603	67	1909	1975	-9999	SE	EU	Faxaelven	ATL	Ulriksfors
345	10000	19.81	40.38	5420	4.601	20	1965	1984	64	AL	EU	Vjosa	MED	Doreze
346	10000	-2.75	5.12	15800	4.543	13.5	1965	1978	2	GH	AF	Tano	ATL	Alanda
347	10000	-82.33	8.42	1337	4.517	20	1965	1984	10	PA	CA	Chiriqu	PAC	Interameric
348	10000	-78	-9	15000	4.532	27	1938	1968	-9999	PE	SA	Santa	PAC	Pte Carrete
349	10000	99.12	14.43	10880	4.431	37	1952	1989	-9999	TH	AS	Khwae Yai	PAC	Srinagarind
350	10000	132.3	34.99	3807	4.804	9	1986	2000	-1	JP	AS	Gono	PAC	Kawahira
351	10000	-78.82	34.83	12566.7	4.444	63.3	1937	2000	8.8	US	NA	Cape Fear	ATL	Wilm O Husk
352	10000	-53.83	3.42	7650	4.504	15.6	1956	1983	-9999	GF	SA	Tampoc	ATL	Degrad-Roch
353	10000	134.2	34.05	2768	4.907	26.3	1959	2000	-9999	JP	AS	Yoshino	PAC	Iwazu
354	10000	147.18	-9.05	1940	4.384	8.1	1954	1964	-9999	PG	PO	Vanapa	PAC	Peto Island
355	10000	158.4	53.18	4750	4.278	54.5	1930	1987	7	RU	AS	Avacha	PAC	Yelizovo
356	10000	48.45	-13.68	2980	4.315	27.3	1953	1983	-9999	MG	AF	Sambirano	IND	Ambanja
357	10000	-47.1	-1.56	6760	4.276	34.9	1965	1999	-9999	BR	SA	Guama	ATL	Bom Jardim
358	10000	34.18	-19.02	15046	4.278	3.8	1976	1979	60	MZ	AF	Pungoe	IND	Bue-Maria
359	10000	-78.72	49.95	10000	4.207	1.9	1968	1972	-9999	CA	NA	Harricana	ATL	South and E
360	10000	-54.27	-2.78	17982	4.227	23.2	1970	1997	-9999	BR	SA	Curua-Una	ATL	jusante da
361	10000	68.73	66.03	15100	4.124	45.2	1953	1999	-9999	RU	AS	Poluy	ARC	Poluy
362	10000	-49.21	-3.51	3622	4.191	15.6	1982	1999	-9999	BR	SA	Moju	ATL	Cachoeira T
363	10000	-64.95	-38.82	22300	4.155	82.5	1918	2000	122	AR	SA	Colorado-SA	ATL	Pichi Mahui
364	10000	-54.87	-1.5	20803	4.122	24.8	1973	1998	-9999	BR	SA	Curua	ATL	Boca do Inf
365	10000	-121.26	37.68	35058	4.141	73.9	1923	1999	7.6	US	NA	San Joaquim	PAC	"Vernalis, C"
366	10000	173.96	-41.44	3430	4.104	23	1961	1983	-9999	NZ	PO	Wairau	PAC	Tuamarina
367	10000	118.75	39.72	44100	4.129	51.2	1929	1988	-9999	CN	AS	Luanhe	PAC	Luanxian
368	10000	-51.6	0.97	3500	4.1	3.2	1979	1982	-9999	BR	SA	Falsino	ATL	Ramos
369	10000	-79.34	54.42	9560	4.057	7.4	1973	1982	-9999	CA	NA	Roggan	ATL	pres de l'e
370	10000	-50.63	-3.84	2682	4.098	15.1	1981	1999	-9999	BR	SA	Pacajas	ATL	Pacajas
371	10000	138.23	36.62	2335	4.067	3.9	1959	1963	-9999	JP	AS	Sai	PAC	Koizumi
372	10000	-94.05	67.52	18100	4.051	19.4	1971	1992	-9999	CA	NA	Hayes	ARC	u/s Chantre
373	10000	74.75	15.25	1393	4.02	10	1968	1979	-9999	IN	AS	Kalinadi (Kali	IND	Dundeli
374	10000	-43.9	-3.46	12350	3.993	26.8	1963	1999	5	BR	SA	Munim	ATL	Nina Rodrig
375	10000	121.65	14.74	879	3.964	5	1969	1974	7	PH	AS	Agus	PAC	"Infanta, Qu"
376	10000	-72.75	-40.57	3714	3.939	17.6	1942	1959	-9999	CL	SA	Pilmaiquen	PAC	Pasado El S
377	10000	-108.82	66.74	16800	4.121	26.3	1976	2004	-9999	CA	NA	Burnside	ARC	nr mouth
378	10000	45.1	65.82	12000	3.875	61.8	1933	1994	12	RU	EU	Peza	ARC	Igumnovo
379	10000	95.3	22.54	12499	3.866	21	1946	1967	-9999	MM	AS	Mu	IND	Kabo weir
380	10000	16.53	62.43	11460	3.839	67	1909	1975	-9999	SE	EU	Ljungan	ATL	Nederede
381	10000	44.91	-19.14	1893	3.842	9.6	1971	1988	-9999	MG	AF	Manambolo	IND	Ambatolahy
382	10000	120.75	23.83	2311	3.795	4	1965	1968	196	TW	AS	Cho-Shui	PAC	Chi-Chi
383	10000	-123.31	46.94	3351	3.695	45.1	1952	1999	7.2	US	NA	Chehalis	PAC	"Porter, WA"
384	10000	-150.02	62.33	5180	3.593	37.3	1964	2001	121.9	US	NA	Talkeetna	PAC	Talkeetna R
385	10000	99.14	9.14	5200	3.622	15.5	1969	1984	4	TH	AS	Tapi-TH	PAC	Surat Thani
386	10000	-54.4	-1.78	17072	3.605	25.3	1972	1998	-9999	BR	SA	Maicuru	ATL	Arapari
387	10000	-71.55	-36.57	1709	3.587	41	1948	1989	-9999	CL	SA	Nuble	PAC	San Fabian
388	10000	130.48	33.32	2315	3.591	51	1950	2000	2	JP	AS	Chikugo	PAC	Senoshita
389	10000	47.73	-21	2260	3.57	14.6	1956	1981	-9999	MG	AF	Mananjary	IND	Antsindra
390	10000	-14.37	65.5	2800	3.75	53.3	1949	2002	13	IS	EU	Lagarfljot	ATL	Lagarfoss
391	10000	68.67	67.27	10600	3.474	18.7	1944	1990	-9999	RU	AS	Shuch'ya	ARC	Shchuch'ye
392	10000	26.2	41.8	20857	3.468	49	1936	1985	-9999	BG	EU	"Maritza (Meric,"	MED	Svilengrad
393	10000	-99.63	16.93	7067	3.402	4	1976	1979	134	MX	NA	Papagayo	PAC	La Parota
394	10000	-70.4	-33.58	4968	3.375	42.4	1946	1989	-9999	CL	SA	Maipo	PAC	El Manzano
395	10000	-44.77	-4.22	25500	3.377	23.6	1975	1999	9	BR	SA	Mearim	ATL	Bacabal
396	10000	49.25	-18.18	2545	3.367	30.9	1953	1983	-9999	MG	AF	Ivondro	IND	Ringaringa
397	10000	-45.22	-3.77	20700	3.353	27.6	1970	1999	9	BR	SA	Grajau	ATL	Aratoi Gran
398	10000	35.33	68.45	8640	3.307	31.6	1959	1992	-9999	RU	EU	Voroniya	ARC	Serebryansk
399	10000	1.58	6.91	21475	3.47	37	1944	1992	42	BJ	AF	Mono	ATL	Athim
400	10000	32.73	-25.02	37600	3.351	3.9	1976	1979	14	MZ	AF	Incomati (Komat	IND	Chobela
401	10000	-77.96	58.5	11200	3.254	8.3	1975	1984	-9999	CA	NA	Innuksuac (Innu	ATL	pres de l'e
402	10000	-36.89	-5.62	37600	3.204	14.7	1985	1999	65	BR	SA	Piranhas (Acu)	ATL	Sitio Acaua
403	10000	-40.35	-17.83	14174	3.161	56.8	1943	1999	-9999	BR	SA	Mucuri	ATL	Nanuque
404	10000	-52.8	-2.22	10000	3.171	3.3	1981	1984	-9999	BR	SA	Jarauacu	ATL	Fazenda Boa
405	10000	-92.15	14.68	1139	3.138	25	1955	1981	90	MX	NA	Suchiate	PAC	Suchiate Ii
406	10000	31.39	-29.14	28920	2.798	50.7	1950	2001	7	ZA	AF	Tugela	IND	Mandini
407	10000	27.4	37.76	23889	3.11	7.8	1976	1983	8	TR	AM	Bueyuek Mendere	MED	Soeke (Soke
408	10000	45.98	-21.32	6510	3.104	17	1952	1969	-9999	MG	AF	Mananantanana	IND	Tsitondroin
409	10000	108.72	-7.46	2515	3.063	35	1957	1991	-9999	ID	AS	Citanduy	IND	Cikawung
410	10000	-41.16	-19.49	8810	3.052	56.9	1938	1998	-9999	BR	SA	Manhuacu	ATL	Sao Sebasti
411	10000	-69.82	19.15	5115	3.035	8.5	1976	1984	8	DO	CB	Yuna	ATL	El Limon
412	10000	32.43	-26.78	28500	3.066	3.9	1976	1979	11	MZ	AF	Maputo	IND	Madubula
413	10000	-52.65	-31.9	5370	3.014	20.1	1961	1983	15	BR	SA	Piratini	ATL	Passo do Ri
414	10000	-81.63	8.07	1070	3.006	20	1965	1984	15	PA	CA	Tabasar	PAC	Camaron
415	10000	-51.15	-29.76	3131	2.987	20	1973	1998	-0.5	BR	SA	Sinos [dos]	ATL	Sao Leopold
416	10000	51.13	67.03	8500	2.969	69.7	1928	1998	8	RU	EU	Sula	ARC	Kotkina
417	10000	10.42	63.33	3079	2.891	5	1965	1969	-9999	NO	EU	Nidelv N1	ATL	Nordsetfoss
418	10000	-51.37	-3.62	2682	2.926	1.7	1981	1983	-9999	BR	SA	Anapu	ATL	Fazenda San
419	10000	-41.62	-21.49	7270	2.881	42.8	1954	1999	28	BR	SA	Muriae	ATL	Cardoso Mor
420	10000	-9.06	53.27	3114	2.882	7	1973	1979	-9999	IE	EU	Corrib	ATL	Galway
421	10000	10.54	43.68	8186	2.882	67.3	1924	1998	6.7	IT	EU	Arno	MED	San Giovann
422	10000	28.6	59.38	12800	2.827	41.7	1944	1985	0	RU	EU	Luga	ATL	Kingisepp
423	10000	-5.24	34.59	6190	2.838	37.3	1951	1990	85	MA	AF	Ouergha	ATL	M'Jara
424	10000	177.13	-39.06	2360	2.786	9.8	1957	1966	-9999	NZ	PO	Mohaka	PAC	Raupunga
425	10000	-81.38	29.01	7941	2.773	67.3	1933	2000	0	US	NA	St Johns	ATL	"Deland, FL"
426	10000	-41.92	-18.53	11191	2.778	37	1938	1975	-9999	BR	SA	Suacui Grande	ATL	Vila Matias
427	10000	-80.98	8.24	1505	2.753	19.9	1965	1984	55	PA	CA	Santa Mara	PAC	San Francis
428	10000	-1.08	52.95	7486	2.759	16.5	1965	1999	16	UK	EU	Trent	ATL	Colwick
429	10000	-84.92	53.8	10400	2.722	25.1	1967	1993	-9999	CA	NA	Ekwan	ATL	d/s North W
430	10000	7.25	52.73	8345	2.692	7	1980	1986	7	DE	EU	Ems	ATL	Versen
431	10000	-8.17	54.5	4375	2.697	6	1973	1979	-9999	IE	EU	Erne	ATL	Ballyshanno
432	10000	21.07	54.64	13600	2.689	70	1901	1985	5	RU	EU	Pregolya	ATL	Gvardeysk
433	10000	118.18	25.05	2466	2.641	29	1951	1979	-9999	CN	AS	Jinjiang	PAC	Anxi
434	10000	-104.14	67.7	16900	2.645	30.5	1971	2004	-9999	CA	NA	Ellice	ARC	nr mouth
435	10000	-2.16	55.72	4390	2.599	9	1980	1999	4.3	UK	EU	Tweed	ATL	Norham
436	10000	-90.44	64.29	11000	2.579	11.8	1978	1992	-9999	CA	NA	Lorillard	ATL	u/s Daly Ba
437	10000	-105.15	21.97	25800	2.573	7	1976	1982	54	MX	NA	San Pedro	PAC	San Pedro
438	10000	-95.05	62.47	12400	2.569	12.2	1979	1993	-9999	CA	NA	Ferguson	ATL	d/s O'Neil
439	10000	126.3	39.75	3300	2.55	17	1965	1981	123	KP	AS	Taedong	PAC	Dokchon
440	10000	-80.15	-4.3	6912	2.571	8	1977	1985	250	PE	SA	Chira (Catamayo	PAC	El Ciruelo
441	10000	49.67	30.5	12600	2.573	21	1955	1985	-9999	IR	AS	Zohreh	IND	Deh Molla
442	10000	-84.38	9.93	1638	2.541	14.7	1965	1979	267	CR	CA	Grande de Trco	PAC	Balsa
443	10000	34.14	66.79	6920	2.54	61.7	1930	1992	4	RU	EU	Umba	ARC	Payalka
444	10000	-123.88	47.45	683.8	2.523	77.7	1911	1994	56.3	US	NA	Quinault River	PAC	Quinault La
445	10000	-45.67	-2.94	3762	2.525	27.3	1972	1999	-9999	BR	SA	Turiacu	ATL	Alto Turi
446	10000	36.6	66.39	7940	2.504	57.6	1935	1992	8	RU	EU	Varzuga	ARC	Varzuga
447	10000	-8.42	40.21	4929	2.489	40.9	1939	1980	20	PT	EU	Mondego	ATL	Ponte de S.
448	10000	-40.95	-20.95	5166	2.446	30.8	1969	1999	40	BR	SA	Itapemirim	ATL	Usina Paine
449	10000	-0.31	51.41	9948	2.521	101	1900	2000	4.7	UK	EU	Thames (natural	ATL	Kingston
450	10000	-46.59	-1.74	2631	2.432	22.3	1975	1999	-9999	BR	SA	Piria	ATL	Tararua-Pon
451	10000	-98.27	16.7	2514	2.402	6.8	1976	1982	110	MX	NA	Santa Catalina	PAC	Las Juntas
452	10000	169.83	-44.27	1090	2.4	41.9	1926	1968	-9999	NZ	PO	Ohau Lake	SOC	Lake Middle
453	10000	39.7	67.98	6570	2.376	18.9	1935	1964	-9999	RU	EU	Yokanga	ARC	Yokanga
454	10000	147.11	-41.46	8997	2.345	69	1902	1970	-9999	TX	AU	South Esk	SOC	Launceston
455	10000	79.99	14.45	53290	2.345	14	1965	1979	-9999	IN	AS	Penner	IND	Nellore
456	10000	48.95	-18.73	1825	2.343	20.9	1948	1973	-9999	MG	AF	Vohitra	IND	Andekaleka
457	10000	136.18	36.1	1283	2.329	3	1958	1963	-9999	JP	AS	Hino	PAC	Fukadani ?
458	10000	-2.68	51.8	4010	2.322	63.1	1936	1999	9.2	UK	EU	Wye	ATL	Redbrook
459	10000	-133.61	58.2	585	2.302	17.6	1916	1975	42.7	AK	NA	Speel	PAC	"nr Juneau,"
460	10000	138.55	35.2	3540	2.484	34.1	1962	2000	42.9	JP	AS	Fuji	PAC	Kitamatsuno
461	10000	132.5	34.45	1527	2.523	19	1978	2000	4.5	JP	AS	Ota	PAC	Yaguchi
462	10000	10.28	63.07	3080	2.271	5.9	1978	1983	-9999	NO	EU	Gaula (Gauldale	ATL	Haga Bru
463	10000	-8.17	41.2	3180	2.243	32	1955	1987	40	PT	EU	Tamega	ATL	Ponte de Ca
464	10000	120.65	23.05	812	2.185	50	1951	2000	-9999	TW	AS	Kao-Ping	PAC	Lao-Nung
465	10000	143.43	42.93	2715	2.297	11	1959	2000	-9999	JP	AS	Toshibetsu	PAC	Toshibetsu
466	10000	126.18	38.98	2727	2.158	21	1964	1984	37	KP	AS	Nam-KP	PAC	Samdung
467	10000	-46.8	-2.77	4668	2.172	14.8	1985	1999	-9999	BR	SA	Uraim	ATL	Cafezal
468	10000	134.08	34.67	1717	2.168	4	1959	1963	-9999	JP	AS	Yoshii	PAC	Iwato
469	10000	-3.14	57.55	2861	2.157	9	1980	1999	43.1	UK	EU	Spey	ATL	Boat o Brig
470	10000	-49.11	-28.42	2740	2.155	59.4	1939	1999	15	BR	SA	Tubarao	ATL	Rio do Pous
471	10000	24.83	57.17	8510	2.125	46.3	1939	1985	11	LV	EU	Gauya	ATL	Sigulda
472	10000	-50.92	1.4	2500	2.105	2.8	1997	1999	-9999	BR	SA	Tartarugal Gran	ATL	Tartarugal
473	10000	38.7	-6.68	15190	2.088	18.3	1959	1978	15	TZ	AF	Ruvu	IND	Dar-Es-Sala
474	10000	168.95	-46.1	3465	2.052	33	1961	1993	-9999	NZ	PO	Mataura	SOC	Gore Hbr
475	10000	21.97	56.98	8320	2.037	81.5	1900	1987	5	LV	EU	Venta	ATL	Kuldiga
476	10000	-71.57	19.77	6718	2.034	4	1976	1979	11	DO	CB	Yaque del Norte	ATL	Palo Verde
477	10000	10.23	0.37	1700	2.031	7.4	1966	1974	-9999	GA	AF	M'Bei	ATL	Andok-Foula
478	10000	-39.3	-15.57	29138	2.439	41.3	1936	1979	50	BR	SA	Pardo	ATL	Mascote
479	10000	23.63	69.42	5693	1.999	6	1978	1983	-9999	NO	EU	Altaelv	ARC	Masi
480	10000	-48.85	-27.27	1964	2.009	16.2	1983	1999	14	BR	SA	Tijucas	ATL	So Joo Ba
481	10000	178.28	-17.81	790	1.997	2.2	1978	1980	-9999	FJ	PO	Wainimala	PAC	Nairukuruku
482	10000	-82.83	8.53	788	1.99	19.4	1965	1984	85	PA	CA	Chiriqu Viejo	PAC	Paso Canoa
483	10000	175.81	-39.81	2787	1.987	25	1970	1994	-9999	NZ	PO	Rangitikei	PAC	Mangaweka
484	10000	95.3	19.36	7782	1.966	11.8	1952	1969	-9999	MM	AS	Balu	IND	Chaung Joik
